,percentages
5713,Eighty-six percent
5714,up to 0.92 percent
5715,about 103 percent
5716,36.3 percent
5717,~15%
5718,quicken to 7.8 percent
5719,16-18%
5720,barely over 1%
5721,greater than 42.7 percent
5722,only about 10%
5723,-0.78%
5724,15.8%
5725,65 percent
5726,93.5 percent
5727,40.53 percent
5728,some 75%
5729,96 percent
5730,up to 18.3 percent
5731,23.8 percent
5732,4.8 percent
5733,just 0.1%
5734,1550%
5735,25.9%
5736,only around 1.2%
5737,around 10% to 8%
5738,between 2.3% and 2.6%
5739,4.42%
5740,up to 19.9 percent
5741,between 10% and 25%
5742,as much as 10.9%
5743,more than 22 percent
5744,15.89%
5745,another 50%
5746,nearly 72%
5747,Some 77%
5748,almost 84%
5749,more than 2.5 percent
5750,206%
5751,just 15.2%
5752,the 8%
5753,about 57 percent
5754,20-25%
5755,4.75% to 4.5%
5756,2030%
5757,50.7%
5758,11.2 percent
5759,about 3000%
5760,32.2 percent
5761,5.64 percent
5762,1.76 percent
5763,5.14%
5764,more than 6.5 percent
5765,just 37%
5766,72.2%
5767,9.73 percent
5768,3.5 percent to 4.0 percent
5769,14.56%
5770,just over 40%
5771,The 1%
5772,another 12%
5773,2% to 4%
5774,46.4%
5775,3.76%
5776,only about 16%
5777,4%6%
5778,91.2%
5779,almost 45%
5780,5 percent to 8 percent
5781,1.1 percent to 25 percent
5782,3.66 percent
5783,67 percent
5784,Compensation 17%
5785,About 69 percent
5786,20% and 17%
5787,6.2%
5788,21 percent
5789,4.51%
5790,as low as 2.7%
5791,80-90 percent
5792,about 5.3%
5793,12.2 percent
5794,its40%
5795,Another 23%
5796,about 125%
5797,up to 70 percent
5798,some 10%
5799,0.002 percent
5800,only 15.6 percent
5801,as much as 0.3 percent
5802,the 0.0005%
5803,1.6% to 1.1%
5804,17.1%
5805,about 0.80%
5806,More than 7 percent
5807,54.4 percent
5808,21%
5809,roughly 23 percent
5810,Twenty-eight percent
5811,-3.8%
5812,another 300%
5813,4%-5%
5814,over 3.1%
5815,7.22%
5816,3.56 percent
5817,More than 26 percent
5818,next 20%
5819,Only 37 percent
5820,11/2%
5821,Only56%
5822,more than 100 percent
5823,More than 65 percent
5824,Around 70%
5825,10.8%
5826,30.55%
5827,Seventy-two percent
5828,over 9%
5829,8.94%
5830,roughly 30 percent
5831,About 5 percent
5832,an astonishing 80%
5833,just 19%
5834,219 percent
5835,about 0.1 percent
5836,just under 2%
5837,about 48%
5838,roughly 87%
5839,49 Percent
5840,4.66%
5841,63.7 percent
5842,3.99%
5843,around 2.48%
5844,2% percent to 3%
5845,nearly 6 percent
5846,3.75%
5847,almost 11.2 percent
5848,only 3.6%
5849,16.6%
5850,just over 4%
5851,greater than 100%
5852,19.5%
5853,only 0.25 percent
5854,more than 12.7 percent
5855,4.26 percent
5856,20-30 percent
5857,About 36 percent
5858,Approximately 50%
5859,69% to 81%
5860,13.84%
5861,no more than 20 percent
5862,about 13 percent
5863,-2.0%
5864,up to 3 percent
5865,3.77 percent
5866,roughly 5%
5867,62.3 percent
5868,"790,799%"
5869,below 50%
5870,more than 2.5%
5871,37.7 percent
5872,0.425 percent
5873,gain--386 percent
5874,+1.33%
5875,around 2.5 percent
5876,12%
5877,above 0.1%
5878,63.3%
5879,just 2.11%
5880,as much as 71
5881,between 0.7% and 0.9%
5882,just 10 percent
5883,only 9% and 16%
5884,15.5% to 16%
5885,only about 10%-11%
5886,about 8.6%
5887,approximately 0.2%
5888,10 to 30 percent
5889,67.7%
5890,only 6%
5891,85.5%
5892,roughly 45%
5893,52.7 percent
5894,as low as 2.5%
5895,more than 9%
5896,about 45%
5897,just five percent
5898,just 0.1 percent
5899,0.14 percent
5900,At least 60 percent
5901,3.5%-3.75%
5902,40-60 percent
5903,30% to 31%
5904,up to 5%
5905,almost 80%
5906,200-300 percent
5907,as high as 2.47%
5908,15.84%
5909,9% to 10%
5910,the 30 percent
5911,0.95 percent
5912,about 50%
5913,almost 21%
5914,2-7 percent
5915,less than1%
5916,3.612 percent
5917,29.8 percent
5918,21.875%
5919,around 129%
5920,10% to 20%
5921,between 7% and 11%
5922,29.6%
5923,only about 9%
5924,14.3 percent
5925,1.38%
5926,15.26%
5927,74.8%
5928,80-87 percent
5929,4.17/39.31%
5930,only 0.004%
5931,1 42 61 43 78
5932,5% to 4.5%
5933,between 46% and 62%
5934,up to 1.1%
5935,7.70%-7.75%
5936,21.3 percent
5937,5.6% to 3.8%
5938,just 7.5%
5939,-0.52%
5940,seven percent
5941,an estimated 7.3 percent
5942,20.2 percent
5943,2.75 percent
5944,more than 131%
5945,nearly 13%
5946,112%
5947,18.1 percent
5948,0.2 percentage points to
5949,58.6%
5950,o.3%
5951,just 3 percent
5952,the other 98%
5953,28 %
5954,under 2%
5955,covering61%
5956,more than 30%
5957,about 6.5 percent
5958,higher than 2.5 percent
5959,more than 18%
5960,just 7.6% and 8.2%
5961,0-2 percent
5962,as much as a quarter in the past two weeks - valuing
5963,nearly 250%
5964,8/2/56 42.1%
5965,38.6%
5966,98-100%
5967,only about 2%
5968,199%
5969,0.2 percentage points
5970,the remaining 3%
5971,some 5 percent
5972,11.6 percent
5973,a less than 1 percent
5974,4.71 percent
5975,another 5.6%
5976,15-17%
5977,Only 29%
5978,around 3% to 4%
5979,34.4%
5980,1.6% percent
5981,Nearly 45%
5982,7.28%
5983,6.75% to 8.75%
5984,just about 7%
5985,up to 80 percent
5986,2.48 percent
5987,up to 6.67%
5988,6.50 percent
5989,the 3.35%
5990,over 64 percent
5991,the 32%
5992,-8%
5993,33.1%
5994,1.40%
5995,49.9 percent
5996,only 3.17 percent
5997,close to 23 percent
5998,8.32%
5999,around 35 percent
6000,around 2.55%
6001,just above 6%
6002,around 0.70%
6003,8.8%
6004,less than 0.14%
6005,1.5%-1.6%
6006,approximately 41%
6007,5-10 percent
6008,81.4 percent
6009,just 6.3%
6010,3.61%
6011,22.0%
6012,only 13.5%
6013,2.2 percent
6014,another 0.75%
6015,about 0.15%
6016,5120%
6017,2.84 percent
6018,about 3.25%
6019,as much as 5%
6020,0.4 to 0.5 percent
6021,as much as 1.8 percent
6022,59.1 percent
6023,0.2 percentage
6024,8.0% to 9.6%
6025,37.8%
6026,88.8 percent
6027,50%-80%
6028,just 3.4%
6029,4.15 percent
6030,Only 39%
6031,"more than 1,000 percent"
6032,a much higher 3.33%
6033,just 6.7 percent
6034,27.4%
6035,1 and 10 percent
6036,9.75% to 12%
6037,41.2 percent
6038,0.25% to 0.5%
6039,4.76 percent
6040,some 10.52%
6041,13.44%
6042,600 percent
6043,-9.6%
6044,over 26%
6045,more than 83%
6046,Only 38%
6047,69.9%
6048,5-1/4 percent
6049,about 1 percent to 1.25 percent
6050,over 99%
6051,around 3.337%
6052,more than 4 percent
6053,3% to 10%
6054,+44%
6055,40-70%
6056,835%
6057,up to 54%
6058,a little over 10%
6059,more than 1.5%
6060,another 1.4%
6061,0.3%
6062,20-25 percent
6063,2.56%
6064,0.2-2.0 percent
6065,20% to 23%
6066,about 131 percent
6067,just 23%
6068,more than 36 percent
6069,Only 52.9%
6070,"15,189%"
6071,nearly 66%
6072,around 64%
6073,64.29%
6074,30-50%
6075,only 38%
6076,London(3.39%
6077,9mm
6078,near-20%
6079,just 1.9%
6080,around 2.2 percent
6081,8.48%
6082,the 46%
6083,5 to 10%
6084,4% to 10%
6085,68.45%
6086,10% to 90%
6087,roughly 10%
6088,8 percent to 9 percent
6089,1.64%
6090,14.2 percent
6091,7.19 percent
6092,1.57 percent
6093,just 57%
6094,3.5-5.5%
6095,As %
6096,2.5%-4.5%
6097,28.36%
6098,"around 1,000%"
6099,as much as 2.43 percent
6100,4.0 Percent
6101,now 79 percent
6102,5 to 7%
6103,1900%
6104,122 percent
6105,Lags 89%
6106,73.1 percent
6107,roughly 15%
6108,perhaps 4%
6109,2 percent to 4 percent
6110,more than -23%
6111,over 39%
6112,286.8%
6113,3 to 5%
6114,2.2787%
6115,6 to 9 percent
6116,0.4 percentage point
6117,between 7 percent and 13 percent
6118,almost 40 percent
6119,19.8%
6120,2.07%
6121,0.82 percent
6122,More than 25%
6123,8.33 percent
6124,just 33%
6125,nearly 400%
6126,Thirty-two percent
6127,nearly 1%
6128,less than 9.9%
6129,92.2 percent
6130,25 percent to 30 percent
6131,-2.63%
6132,thirty-five percent
6133,98%
6134,5.2 to 6 percent
6135,94%
6136,approximately .6%
6137,Fewer than 20 percent
6138,5.16%
6139,up to 1.2%
6140,3.4% to 3.5%
6141,35.2 percent
6142,6.82%
6143,"over 5,000 percent"
6144,below 5 percent
6145,42.6%
6146,1.77%
6147,86.0%
6148,the 53 percent
6149,10.2%
6150,some 50 percent
6151,thatmore than 50%
6152,just 65 percent
6153,Eighty-eight percent
6154,only about 1.6%
6155,6.11 percent
6156,-3.6%
6157,approximately 5.0%
6158,"more than 2,300%"
6159,12.43 percent
6160,almost 5%
6161,8.96%
6162,165 percent
6163,45.7%
6164,3.3% to 3.6%
6165,the 92.5 percent
6166,Novemberfellnearly 40 percent
6167,just 4 percent
6168,36.6 percent
6169,roughly 2.4%
6170,1.48% to 1.88%
6171,as much as 9.1 percent
6172,2.39-2.41%
6173,11% to 30%
6174,79.2%
6175,nearly 2.0 percent
6176,40.4 percent
6177,2.58%
6178,0.68 Percent
6179,6.1-6.3%
6180,-0.59%
6181,3.58 percent
6182,+2.6%
6183,149 percent
6184,387%
6185,around 0.3%
6186,7.6% to 7.5%
6187,more than 29%
6188,only 8%
6189,14%
6190,almost 25%
6191,above 85%
6192,45 percent
6193,approximately 70 percent
6194,Around 90 percent
6195,as -6.1%
6196,4.00%
6197,Nearly 81%
6198,2.0% to 3.4%
6199,only about 1.5%
6200,-.26%
6201,between 30 and 40 percent
6202,5.3% to 61.5%
6203,a more than 7 percent
6204,around 1.6 percent
6205,55.7%
6206,change:3.3 percent
6207,about 7.3%
6208,the 4.3%
6209,>to 3%
6210,the 53.5 percent
6211,6.25%
6212,34.4 percent
6213,roughly 10% to 12%
6214,10 -2.2%
6215,four percent
6216,-0.14%
6217,above 9.9%
6218,an estimated 4.75 percent
6219,50%
6220,8.1 to 8.5 percent
6221,0.08 percent
6222,as much as 55%
6223,80.1%
6224,-1.60%
6225,346 percent
6226,68.0 percent
6227,some 28 percent
6228,more than 1.9%
6229,22.2%
6230,3.60%
6231,2.28 percent
6232,24.3 percent
6233,-12 percent
6234,2.63%
6235,about 24 percent
6236,1.13 percent
6237,0.89%
6238,2 1/2 percent
6239,10.73 percent
6240,as much as 6.9 percent
6241,66% to 93%
6242,72.0%
6243,41.6 percent
6244,21.8 percent
6245,above 20%
6246,only about 5%
6247,99.0%
6248,57.8 percent
6249,0.29%
6250,an estimated 49%
6251,5-30%
6252,a full 40%
6253,45.84 percent
6254,between -12% and -22%
6255,2.30%
6256,6.5-6.6%
6257,69.50%
6258,an additional 3%
6259,87.4 percent
6260,some 30%
6261,19-39%
6262,about 0.9 percent
6263,5.24%
6264,0.1% to 0.2%
6265,55.35 percent
6266,between 40% and 50%
6267,11.62 percent
6268,1.375 percent
6269,0.2 liters
6270,50% to 400%
6271,zero percent
6272,just 37.5%
6273,another 0.1%
6274,1.6 to 2.0 percent
6275,6.60 percent
6276,above 96 percent
6277,just 2.8 percent
6278,half a percent
6279,"more than 25,000%"
6280,25.1%
6281,12.5 percent
6282,only 1.23%
6283,3.79%
6284,the more than 90 percent
6285,more than 14%
6286,73.4 percent
6287,99.3 percent
6288,15.1% to 17.5%
6289,2-4 percent
6290,20.2%
6291,only 0.7%
6292,. 99%
6293,only 4.7 percent
6294,1.94 percent
6295,just 11%
6296,the remaining 55%
6297,above 9%
6298,about 7.4 percent
6299,less than 80%
6300,between 0.5% and 2.5%
6301,52.6%
6302,-2.7%
6303,132%
6304,sixty to eighty percent
6305,-0.13%
6306,some 6.9 percent
6307,23.5 percent
6308,0.58 percent
6309,-2%
6310,approximately 10 percent
6311,only 56%
6312,less than 0.1%
6313,around 2.72%
6314,36.67%
6315,3.50 percent
6316,17 to 32 percent
6317,an average 4.7%
6318,79%
6319,14.63 percent
6320,as much as 1.2%
6321,just 1.75 percent
6322,the 91%
6323,149%
6324,436%
6325,less than 100%
6326,30% to 20%
6327,as high as 10%
6328,up to 12 percent
6329,at least two percent
6330,over 900 percent
6331,32.34%
6332,300 percent
6333,less than 30%
6334,as few as 15 percent
6335,quicken to 3.5 percent
6336,2.32%
6337,as low as 28.4 percent
6338,around 700%
6339,around 1.25 percent
6340,almost 12.5%
6341,5.2 to 5.6 percent
6342,another 30%
6343,as much as 2 percent
6344,Just 14 percent
6345,76.2%
6346,18.2%
6347,.8%
6348,about 2.75 percent
6349,0.2 to 0.3%
6350,4.75 percent
6351,About 55 percent
6352,approximately 13%
6353,440%
6354,only ~12%
6355,1.5% to 2.0%
6356,only 7.7%
6357,only 19 percent
6358,16.0 percent
6359,approximately 6.2 percent
6360,28 percent
6361,close to 50 percent
6362,-1.52%
6363,around 1.0%
6364,4.9 percent
6365,around 1.7%
6366,2.9 and 3.6 percent
6367,up to 63.0 percent
6368,5.8%
6369,only 79%
6370,S&amp;P500 by 248 percent
6371,6.9-7.0 percent
6372,25-35%
6373,17.5 billion100%
6374,more than 4%
6375,just over 15%
6376,about 32%
6377,just 120 percent
6378,about -11.8%
6379,2.18%
6380,another 0.49%
6381,15 percent to 20 percent
6382,up to 7.9 percent
6383,below 4%
6384,about 0.7%
6385,around 85%
6386,roughly 50%
6387,+1.19%
6388,an additional 1%
6389,2.47% to 2.40%
6390,more than 110%
6391,just below 2%
6392,65.1 percent
6393,more than 400%
6394,23/4%
6395,under 20%
6396,25.7 percent
6397,the 3.7%
6398,25-50%
6399,99.4 percent
6400,7.0% to 7.5%
6401,3.21 percent
6402,at least 90%
6403,close to 3.5%
6404,14.9 percent
6405,just 24%
6406,more than 140%
6407,275.4%
6408,a negative 0.23 percent
6409,-9.40%
6410,29.6 percent
6411,74.7%
6412,above 4 percent
6413,Less than 30%
6414,31.1%
6415,as much as 40%
6416,nearly 18%
6417,100%
6418,-7.7 percent
6419,over 99.99 percent
6420,negative 8 percent
6421,60.82 percent
6422,about 2.0 percent
6423,-0.62%
6424,42.5 percent
6425,61.4 percent
6426,8.33%
6427,39.8 percent
6428,as little as 30%
6429,only about 0.3%
6430,over 28.5%
6431,at least 10 percent
6432,a lofty 7.2 percent
6433,-1%
6434,9%
6435,5.58 percent
6436,13% to 15%
6437,3.626%
6438,185%
6439,4.09%
6440,fewer than 1%
6441,423%
6442,nearly 300 percent
6443,at least 32 percent
6444,a mere 1.7%
6445,0.52% to 0.58%
6446,+0.4%
6447,over 45%
6448,5.66%
6449,a little over 1%
6450,14.9%
6451,+1.4 percent
6452,the 2.83%
6453,about 10% and 7%
6454,about 19.3%
6455,just below 2.0 percent
6456,12% to 13%
6457,1.07%
6458,2.69 percent
6459,some 31.6%
6460,2.0% to 1.75%
6461,no more than 5 percent
6462,13.4%
6463,nearly another 40 percent
6464,as low as zero percent
6465,25.4%
6466,about 65 percent
6467,a2.8%
6468,up to 4%
6469,0.13%
6470,this almost 100%
6471,1.082%
6472,close to 62%
6473,9.9 percent
6474,nearly 110%
6475,between 37.2%
6476,18.4 percent
6477,about 9%
6478,57%
6479,close to 20%
6480,6 Percent
6481,26.4 percent
6482,approximately 60%
6483,only 150 percent
6484,73.33%
6485,at least 15%
6486,37.2 percent
6487,about 9.5 percent
6488,at least 6.5%
6489,up to 0.7%
6490,14.4%
6491,5.75%
6492,up to 9.5%
6493,under 10%
6494,more than 250%
6495,roughly 19 percent
6496,291.1%
6497,30.2%
6498,2.0%
6499,Only 58%
6500,6.7% to 6.6%
6501,"more than 8,000 percent"
6502,1.8% to 1.6%
6503,2.23 percent
6504,over 200%
6505,just 7.7%
6506,up to 70%
6507,roughly 12.5 percent
6508,another 2.38%
6509,9.22%
6510,a little more than 3%
6511,57.5 percent
6512,more than 6.1%
6513,97%
6514,millennials.72%
6515,about 34%
6516,around 2.21%
6517,61 percent
6518,10.17%
6519,296%
6520,approximately 80 percent
6521,around 15 percent
6522,just 0.7%
6523,some 23 percent
6524,about 90 percent
6525,0.169 percent
6526,2.82% to 5.67%
6527,0.56%
6528,nearly 20%
6529,58.5 percent
6530,around 65%
6531,85.2%
6532,46-62%
6533,less 2.5%
6534,over 13 percent
6535,around 6.5%
6536,around 1.75 percent
6537,only 0.374%
6538,up to 1.7 percent
6539,only four percent
6540,only 1.7%
6541,27.0%
6542,the 1.618%
6543,the 54%
6544,the 52 percent
6545,less than .1%
6546,roughly 65%
6547,92.4%
6548,about 0.8%
6549,1.15 percent
6550,at least 15 percent
6551,-6.03%
6552,4.95%
6553,between 1.5% and 2.0%
6554,around 26 percent
6555,the .05 percent
6556,around 58 percent
6557,7.79%
6558,2.5717%
6559,over 16 percent
6560,1.28%
6561,1% and
6562,over 53%
6563,some 13 percent
6564,60.7%
6565,Our 99%
6566,347%
6567,0.2%
6568,around 45 percent
6569,more than 160%
6570,Forty-five percent
6571,only 1.9%
6572,0.09 percent
6573,17.85%
6574,116%
6575,76.2 percent
6576,+0.6%
6577,98.7%
6578,11.5% to 5.8%
6579,6.75 percent
6580,5 to 25 percent
6581,only around 52%
6582,28.3%
6583,46.5 percent
6584,10.0%
6585,above 160%
6586,at least 7 percent to 8 percent
6587,larger than 0.5%
6588,1.2 percent
6589,better than 2.5%
6590,just 6.6%
6591,approximately 14.3%
6592,an eight percent
6593,over 2.0%
6594,9.00%
6595,2.66%
6596,approximately 334%
6597,-7%
6598,16-week percent
6599,up to 200%
6600,almost 400% to 23.5%
6601,1.89 percent
6602,to16%
6603,1.097 percent
6604,39.2 percent
6605,31.8 percent
6606,as high as 81.637
6607,20.06 percent
6608,Over 100%
6609,9.04%
6610,around 7.6%
6611,0.20 percent
6612,~70%
6613,Only 35%
6614,Sixty-eight percent
6615,0.1 percent
6616,our 5.0%
6617,16.1 percent
6618,approximately 6 percent
6619,"15,900%"
6620,more than 11.5%
6621,close to 6%
6622,1.3 percent
6623,10-20%
6624,22.81 percent
6625,as much as 75%
6626,6-7%
6627,35.2%
6628,between 0.9%-1.1%
6629,about 0.5%
6630,50-90%
6631,about 27%
6632,nearly 8 percent
6633,almost 15%
6634,nearly 47%
6635,16.31 percent
6636,as much as 3.0%
6637,7.6%
6638,2.50 percent
6639,nearly 25 percent
6640,around 16 percent
6641,470%
6642,5.7%
6643,close to 2.79%
6644,about 0.4%
6645,Roughly 85 percent
6646,Over 24%
6647,6.681%
6648,0.35 percent
6649,11-33 percent
6650,about 3.2 percent
6651,16.83%
6652,2's
6653,Sixty percent
6654,284.5%
6655,over 47%
6656,an additional 0.9%
6657,the 3.4 percent
6658,1.43%
6659,3.34 percent
6660,17.79 percent
6661,10.70%
6662,1.42%
6663,almost 2.25%
6664,1.5-2.3%
6665,about 28%
6666,-3.25%
6667,another 19%
6668,18.8%
6669,510%
6670,above 3.26%
6671,fewer than 2 percent
6672,up to 1.8178%
6673,around 3.8%
6674,8.2 percent
6675,an average 26 percent
6676,as to 4 percent
6677,7.0 percent
6678,approximately 20%
6679,over 2.3%
6680,12.39%
6681,73.59 percent
6682,about 8.8 percent
6683,34.9%
6684,Two percent
6685,just 0.403%
6686,the 1.9 percent
6687,as low as 2.6016%
6688,about 240%
6689,537 percent
6690,Islam74%
6691,close to 1 percent
6692,0.25% to 0.15%
6693,Thirty-eight percent
6694,+150.62%
6695,peak:45.2%
6696,roughly 93% and 85%
6697,10.6 Percent
6698,another 7.7%
6699,between 5.4% and 5.7%
6700,242%
6701,just over 50%
6702,an estimated 4.4%
6703,About 29 percent
6704,-0.8%
6705,up to 27%
6706,Over 73%
6707,1.78%
6708,+2.7%
6709,some 18 percent
6710,under 7%
6711,3.4%
6712,between 0.25% and 2.25%
6713,above 4%
6714,little more than 60%
6715,close to 90%
6716,the 6% to 7%
6717,28.1 percent
6718,25-to-30 percent
6719,37.4%
6720,Approximately 65 percent
6721,0.00005%
6722,2.507 percent
6723,99.5 percent
6724,around 32 percent
6725,12% to 14%
6726,"about 13,000%"
6727,3.85%
6728,+1.9%
6729,around 0.2 percent
6730,0.16 percent
6731,35.8 percent
6732,79.5%
6733,32.4%
6734,69%/31%
6735,up to 14.7 percent
6736,a more than 8%
6737,roughly 75 percent
6738,above 40%
6739,around 0.7 percent
6740,At least 80 percent
6741,1.88%
6742,22.7%
6743,as low as 2.47%
6744,1 .8%
6745,Roughly 50 percent
6746,almost 60%
6747,278%
6748,close to 40%
6749,0.17%
6750,only about 12 percent
6751,70 to 80 percent
6752,between 80 percent to 90 percent
6753,about 3 1/2 percent
6754,7-712%
6755,between 2.2% and 2.8%
6756,36.12%
6757,0.0%
6758,around 44%
6759,only about 5.3%
6760,3.276 percent
6761,another 4%
6762,only 8.8%
6763,up to 1.4%
6764,now 43%
6765,up to 62.9%
6766,0.719 percent
6767,about 21%
6768,between 20% and 30%
6769,+3.0%
6770,just 3.2%
6771,20.4 percent
6772,close to 27%
6773,rallying15%
6774,24%
6775,below 2 1/4 percent
6776,only to 5 percent
6777,19.0 percent
6778,6.8 percent
6779,more than 22%
6780,only 70%
6781,between 6.5%-6.8%
6782,between 10% and 20%
6783,56.1%
6784,8.5 to 9.0 percent
6785,just 16 1%
6786,about three percent
6787,an estimated 66%
6788,29.0%
6789,c.10%
6790,just 13 percent
6791,as little as 10 percent
6792,"more than 3,000 percent"
6793,roughly 3% to 4%
6794,about 39 percent
6795,only 3.3 percent
6796,425 percent
6797,51% to 82%
6798,13.29%
6799,59.78%
6800,the 1.4%
6801,~10%
6802,7.25 percent
6803,2.90%
6804,as much as 42%
6805,over approximately 600 percent
6806,300%
6807,9.77 percent
6808,the 67 percent
6809,21.2 percent
6810,6 to 3%
6811,another 10.2 percent
6812,above 80 percent
6813,less than 30 percent
6814,at least 11 percent
6815,81.0 percent
6816,3.876% to 4.41%
6817,as high as 310 percent
6818,more like 25%
6819,1.22 percent
6820,minus 0.6%
6821,-2.4%
6822,8.98%
6823,about 35 percent
6824,just 2.7%
6825,26.5 percent
6826,1.70%
6827,between 5% and 10%
6828,0.00%
6829,55 percent
6830,1.76%
6831,6.0 percent
6832,4%
6833,3.78%
6834,just over 10%
6835,8.47%
6836,approximately 14.1%
6837,34.6%
6838,Nearly 100 percent
6839,7.5 to 8 percent
6840,just 37 percent
6841,Twenty-one percent
6842,33.2%
6843,118 percent
6844,as much as 1.74%
6845,as high as 28 percent
6846,about 52 percent
6847,the 52.1 percent
6848,15 - 20%
6849,6.1 percentage points
6850,0.10 percent
6851,less than 3%
6852,only 5.2%
6853,the 20 percent
6854,as much as 12%
6855,up more than 7%
6856,a %
6857,110.4 percent
6858,1.35%
6859,between 5.2 percent and 5.6 percent
6860,10 percent
6861,23.7 percent
6862,nearly 200 percent
6863,Roughly 32 percent
6864,1.267%
6865,6.3%
6866,only about 6%
6867,only 3.9%
6868,47.2 percent
6869,a fraction of
6870,less than -3%
6871,over 75%
6872,an estimated 2%
6873,up to 3.3 percent
6874,2%-8%
6875,2.6% to 1.0%
6876,12%-to-13%
6877,a little more than 1%
6878,6.7% to 6.3%
6879,2.7%
6880,4-4.5 percent
6881,1% to 1.5%
6882,up to 2.59%
6883,a negative 0.01%
6884,50 percent
6885,75.8 percent
6886,31.57%
6887,1% and 3%
6888,above 6.1 percent
6889,seventy percent
6890,118%
6891,0.0000001%
6892,-0.50%
6893,64 percent
6894,0.1% to 79.2%
6895,1+inflation 9%
6896,10.55 percent
6897,just 1.8%
6898,less than 6%
6899,more than 800 percent
6900,14.87 percent
6901,up to 30 percent
6902,less as a percent
6903,1.99 percent
6904,56.2 percent
6905,only 27 percent
6906,48.6%
6907,as much as 28%
6908,just 36%
6909,102.7%
6910,between 2.9% and 3.1%
6911,6.44%
6912,a mere 8 percent
6913,just 3.8%
6914,53.1 percent
6915,120 percent
6916,328 percent
6917,about 4.6 percent
6918,just 0.19%
6919,0 to 1/4 percent
6920,around 8 percent
6921,the remaining 90%
6922,only 2 percent
6923,"more than 4,100 percent"
6924,An additional 27 percent
6925,64.3%
6926,2.92 percent
6927,17.2 percent
6928,only 2.20%
6929,Over 75 percent
6930,the 1.1 percent
6931,1.8 percent to 7 percent
6932,just 0.25%
6933,0.25 percent
6934,our 7.7% and 7.6%
6935,up to 7.6%
6936,0.21%
6937,248%
6938,less than 6.5%
6939,31.2 percent
6940,only 5%
6941,more than 7.0%
6942,40 to 50%
6943,fewer than 15 percent
6944,around 0.4%
6945,21.01%
6946,lt;1%
6947,6.27%
6948,up to 23.9 percent
6949,5 to 8%
6950,about 6.9%
6951,6.95 percent
6952,0.40%
6953,Only21%
6954,0.95%
6955,less than 10 percent
6956,close to 10 percent
6957,another 20 percent
6958,65% to 63%
6959,79.9 percent
6960,almost 70% and 75%
6961,3.31%
6962,up to 37.0 percent
6963,"8%say,3%"
6964,Around 23%
6965,80.5%
6966,42.3 percent
6967,51.6%
6968,50% to 100%
6969,2.51 percent
6970,1.30%
6971,50.9%
6972,36% to 37%
6973,"1,800%"
6974,0-90%
6975,55.8%
6976,1.8-2.0%
6977,the other 99.8%
6978,24.7%
6979,71.1%
6980,16.4 percent
6981,4.8%
6982,above seven percent
6983,0.426%
6984,as much as 80 percent
6985,more than 87%
6986,71%
6987,0.76 percent
6988,6-1/2 percent
6989,60%-70%
6990,49.1 percent
6991,approximately 24%
6992,just under 9 percent
6993,1.7 to 2.0 percent
6994,the 3% to 3.5%
6995,less than 0.5%
6996,60.8%
6997,Only 6%
6998,2.54% to 2.69%
6999,+0.35%
7000,7.8%
7001,almost 5 percent
7002,19.2 percent
7003,about 8.5%
7004,between 90% and 100%
7005,around 0.6%
7006,some 40%
7007,Only 50%
7008,0.06 percent
7009,as much as 14 percent
7010,3.11 percent
7011,more than 180 percent
7012,20.1%
7013,Only 2%
7014,4.8 percentage points
7015,66.9 percent
7016,-1.69%
7017,sub-2%
7018,78.8%
7019,nearly 26%
7020,nearly 4.5%
7021,1.63 percent
7022,minus 3 percent
7023,approximately 32%
7024,higher than 30 percent
7025,about 6.1%
7026,around 24%
7027,93.9%
7028,another 4.1%
7029,58.3%
7030,0.51 percent
7031,An additional 21 percent
7032,-1.28%
7033,only 0.7 percent
7034,28.6 percent
7035,about 44 percent
7036,about 5.1 percent
7037,7.04%
7038,just 16 percent
7039,only about 2 percent
7040,55.7 percent
7041,30% to 10%
7042,10 to 18 percent
7043,them16%
7044,175 percent
7045,around 1.4 percent
7046,only 0.8%
7047,~45%
7048,nearly 44 percent to 47 percent
7049,more than 75%
7050,Roughly 17%
7051,almost 400%
7052,25.87%
7053,no more than 3.5 percent
7054,90 percent
7055,-5.07%
7056,Roughly 70% to 80%
7057,99 percent
7058,"4,900%"
7059,only 0.l percent
7060,12.11 percent
7061,some 90%
7062,108 percent
7063,approximately 2.1%
7064,332 percent
7065,312%
7066,only 2.05%
7067,around 2.0%
7068,49.3%
7069,no less than 12.7%
7070,more than 40 percent
7071,10.5% to 17%
7072,as low as 2.4716%
7073,4.9%
7074,less than 100 percent
7075,0.4 percentage points to 2.6%
7076,change:8.6 percent
7077,+0.93%
7078,Only 17%
7079,66 percent
7080,four-tenths percent
7081,just under 8%
7082,0.909%
7083,perhaps 5%
7084,0.62%
7085,0.17 percent
7086,About 61 percent
7087,7.4-7.5%
7088,more than 850%
7089,minus 25 percent
7090,close to 27 percent
7091,2.57 percent
7092,about +1.5%
7093,1.46%
7094,11.5 percent
7095,37.5%
7096,12.17%
7097,less than 15%
7098,2-3%
7099,7.4%
7100,nearly 15 percent
7101,21.6%
7102,84.69%
7103,That's30%
7104,1.26 percent
7105,16%
7106,16.5 percent
7107,95.0%
7108,just over 8%
7109,close to 3%
7110,just 12.5%
7111,about 54%
7112,2.75% to 3%
7113,1.12%
